makeID,ID,makeName,Name
INGERSOLL,Rollers,Ingersoll Rand,Roller
INGERSOLL,Sandblaste,Ingersoll Rand,Sandblaster
71,Backhoes,International,Backhoe
71,15,International,Baler
71,16,International,Combine
71,Cotton Pic,International,Cotton Picker
71,Dozers,International,Dozer
71,Harvesters,International,Harvester
71,HD TRUCK,International,Heavy Duty
71,Lift Truck,International,Lift Truck
71,Loaders,International,Loader
71,Medium & H,International,Medium & Heavy-Duty Trucks
71,12,International,Medium Duty
71,2187,International,Medium/Heavy Truck
71,Paydozers,International,Paydozer
71,Payhaulers,International,Payhauler
71,Payloaders,International,Payloader
71,Payloggers,International,Paylogger
71,Paymovers,International,Paymover
71,Payscraper,International,Payscraper
71,Power Unit,International,Power Unit
71,Skidders,International,Skidder
71,Straddle C,International,Straddle Carrier
71,Track Trac,International,Track Tractor
71,Tractors,International,Tractor
71,Tractors A,International,Tractor - Agricultural
71,Tractors C,International,Tractor - Compact
71,Tractors I,International,Tractor - Industrial
71,Tractors L,International,Tractor - Lawn
71,6,International,Truck
71,7,International,Van
71,18,International,Windrower
ISEKI,Engines-In,Iseki,Engines - Industrial
ISEKI,Tractors,Iseki,Tractor
910,Excavators,Ishikawajima,Excavator
910,Misc. Equi,Ishikawajima,Misc. Equipment
473,Engines-Ma,Isotta Fraschini,Engine - Marine
EU ISUZU,5,Isuzu - Europe,Car
EU ISUZU,HD TRUCK,Isuzu - Europe,Heavy Duty
EU ISUZU,Medium & H,Isuzu - Europe,Medium & Heavy-Duty Trucks
37,5,Isuzu,Car
37,Engines-Ma,Isuzu,Engine - Marine
37,Engine,Isuzu,Engine Heavy Duty
37,Engines-In,Isuzu,Engines - Industrial
37,2187,Isuzu,Medium/Heavy Truck
37,6,Isuzu,Truck
37,7,Isuzu,Van
EU IVECO,Buses,Iveco Fiat LCV / Heavy Duty - Europe,Bus
EU IVECO,5,Iveco Fiat LCV / Heavy Duty - Europe,Car
EU IVECO,HD TRUCK,Iveco Fiat LCV / Heavy Duty - Europe,Heavy Duty
EU IVECO,12,Iveco Fiat LCV / Heavy Duty - Europe,Medium Duty
EU IVECO,6,Iveco Fiat LCV / Heavy Duty - Europe,Truck
EU IVECO,7,Iveco Fiat LCV / Heavy Duty - Europe,Van
IVECO,HD TRUCK,Iveco,Heavy Duty
IVECO,12,Iveco,Medium Duty
J.C. BAMFO,Compactors,J.C. Bamford,Compactor
J.C. BAMFO,Excavators,J.C. Bamford,Excavator
J.C. BAMFO,Lift Truck,J.C. Bamford,Lift Truck
J.C. BAMFO,Loaders,J.C. Bamford,Loader
J.C. BAMFO,Loaders BH,J.C. Bamford,Loader - Backhoe
J.C. BAMFO,Misc. Equi,J.C. Bamford,Misc. Equipment
J.C. BAMFO,Rollers,J.C. Bamford,Roller
J.C. BAMFO,Shovels,J.C. Bamford,Shovel
J.C. BAMFO,Skid Steer,J.C. Bamford,Skid Steer
J.C. BAMFO,SkidSteerL,J.C. Bamford,Skid Steer Loader
J.C. BAMFO,Telescopic,J.C. Bamford,Telescopic Handler
722,Loaders,JCB,Loader
722,Loaders BH,JCB,Loader - Backhoe
JGM,Engines-Ma,JGM,Engine - Marine
JLG,Misc. Equi,JLG,Misc. Equipment
JLG,Telehandle,JLG,Telehandler
JS BARNES,Hydraulic ,JS Barnes,Hydraulic Motor
JSW,Excavators,JSW,Excavator
JACKEL,44,Jackel,ATV
630,Tractors L,Jacobsen,Tractor - Lawn
JACUZZI JE,Stern Driv,Jacuzzi Jet,Stern Drive
EU JAGUAR,5,Jaguar - Europe,Car
20,5,Jaguar,Car
EU JEEP,6,Jeep - Europe,Truck
42,6,Jeep,Truck
EU JENSEN,5,Jensen - Europe,Car
9,5,Jensen,Car
JET EDGE,Compressor,Jet Edge,Compressor
JETMOTO,44,Jetmoto,ATV
912,Misc. Equi,John Bean,Misc. Equipment
725,14,John Deere,Agricultural Tractor
725,Articulate,John Deere,Articulated Dump Truck
725,ArticulatT,John Deere,Articulated Truck
725,44,John Deere,ATV
725,Backhoes,John Deere,Backhoe
725,15,John Deere,Baler
